AR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Andalucía,49.31,48.74,47.11,44.57,41.98,40.14,39.49,39.79,39.83,40.16,33.90,37.04
Aragón,38.11,37.35,34.61,32.02,30.46,29.04,28.97,28.79,30.68,32.16,27.06,31.83
"Asturias, Principado de",26.47,27.12,28.17,28.27,26.97,25.84,25.16,24.91,25.81,26.63,23.95,26.11
"Balears, Illes",64.51,67.97,67.51,66.35,61.36,59.02,59.62,62.31,62.65,64.82,49.17,50.04
Canarias,45.77,47.71,46.81,44.27,42.55,42.08,41.44,42.24,41.42,43.08,37.26,36.16
Cantabria,29.66,30.85,30.96,29.29,29.32,28.71,29.24,30.02,30.42,31.06,28.48,34.09
Castilla y León,33.20,32.98,33.40,31.88,30.99,30.23,29.47,29.66,31.06,31.78,27.19,31.11
Castilla - La Mancha,34.25,35.40,35.44,35.26,33.95,32.61,31.12,31.48,33.66,34.49,30.30,32.93
Cataluña,62.18,60.62,60.45,58.03,57.15,56.17,54.46,56.68,62.73,64.29,46.11,50.95
Comunitat Valenciana,57.56,56.92,55.59,52.40,50.00,47.60,46.72,46.07,46.81,46.51,38.36,44.60
Extremadura,27.28,26.71,26.74,26.71,25.80,25.06,24.31,24.61,25.13,25.96,23.64,25.85
Galicia,27.98,29.52,30.08,29.51,28.57,28.12,27.43,27.44,29.09,29.65,27.18,32.80
"Madrid, Comunidad de",62.95,61.32,61.29,59.30,57.33,57.02,57.93,58.61,59.20,60.98,45.91,51.35
"Murcia, Región de",39.66,39.62,39.31,37.38,35.99,36.46,34.93,35.76,37.46,38.19,33.77,38.23
"Navarra, Comunidad Foral de",30.67,32.54,33.84,37.54,41.76,37.61,40.28,38.73,42.20,44.70,35.90,40.68
País Vasco,41.34,41.01,42.48,41.73,40.75,39.53,38.25,38.61,41.55,43.33,35.25,38.93
"Rioja, La",29.54,31.14,31.72,30.19,28.42,27.26,25.58,25.21,26.46,27.83,24.76,28.87
Ceuta,74.10,75.91,83.76,69.23,62.66,58.72,54.68,52.98,55.59,56.19,43.45,47.27
Melilla,60.08,61.64,56.13,56.14,54.92,57.82,57.05,55.94,64.85,66.14,53.02,49.28
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
