Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
Total Nacional;Total;2021;528.856
Total Nacional;Total;2020;467.918
Total Nacional;Total;2019;750.480
Total Nacional;Total;2018;643.684
Total Nacional;Total;2017;532.132
Total Nacional;Total;2016;414.746
Total Nacional;Total;2015;342.114
Total Nacional;Total;2014;305.454
Total Nacional;Total;2013;280.772
Total Nacional;Total;2012;304.054
Total Nacional;Total;2011;371.335
Total Nacional;Total;2010;360.704
Total Nacional;Total;2009;392.963
Total Nacional;Total;2008;599.074
Total Nacional;España;2021;32.382
Total Nacional;España;2020;26.426
Total Nacional;España;2019;36.227
Total Nacional;España;2018;35.031
Total Nacional;España;2017;38.408
Total Nacional;España;2016;33.820
Total Nacional;España;2015;30.329
Total Nacional;España;2014;25.700
Total Nacional;España;2013;21.595
Total Nacional;España;2012;20.611
Total Nacional;España;2011;21.561
Total Nacional;España;2010;18.874
Total Nacional;España;2009;19.355
Total Nacional;España;2008;21.088
Total Nacional;UE27_2020 sin España;2021;86.981
Total Nacional;UE27_2020 sin España;2020;69.218
Total Nacional;UE27_2020 sin España;2019;""
Total Nacional;UE27_2020 sin España;2018;""
Total Nacional;UE27_2020 sin España;2017;""
Total Nacional;UE27_2020 sin España;2016;""
Total Nacional;UE27_2020 sin España;2015;""
Total Nacional;UE27_2020 sin España;2014;""
Total Nacional;UE27_2020 sin España;2013;""
Total Nacional;UE27_2020 sin España;2012;""
Total Nacional;UE27_2020 sin España;2011;""
Total Nacional;UE27_2020 sin España;2010;""
Total Nacional;UE27_2020 sin España;2009;""
Total Nacional;UE27_2020 sin España;2008;""
Total Nacional;UE28 sin España;2021;""
Total Nacional;UE28 sin España;2020;""
Total Nacional;UE28 sin España;2019;127.261
Total Nacional;UE28 sin España;2018;124.815
Total Nacional;UE28 sin España;2017;122.513
Total Nacional;UE28 sin España;2016;105.135
Total Nacional;UE28 sin España;2015;97.793
Total Nacional;UE28 sin España;2014;93.528
Total Nacional;UE28 sin España;2013;85.038
Total Nacional;UE28 sin España;2012;94.486
Total Nacional;UE28 sin España;2011;122.468
Total Nacional;UE28 sin España;2010;121.515
Total Nacional;UE28 sin España;2009;117.395
Total Nacional;UE28 sin España;2008;159.047
Total Nacional;Bélgica;2021;4.662
Total Nacional;Bélgica;2020;3.217
Total Nacional;Bélgica;2019;4.002
Total Nacional;Bélgica;2018;3.904
Total Nacional;Bélgica;2017;3.856
Total Nacional;Bélgica;2016;3.026
Total Nacional;Bélgica;2015;2.797
Total Nacional;Bélgica;2014;2.296
Total Nacional;Bélgica;2013;2.385
Total Nacional;Bélgica;2012;2.265
Total Nacional;Bélgica;2011;2.033
Total Nacional;Bélgica;2010;1.884
Total Nacional;Bélgica;2009;1.768
Total Nacional;Bélgica;2008;1.945
Total Nacional;Bulgaria;2021;3.046
Total Nacional;Bulgaria;2020;3.314
Total Nacional;Bulgaria;2019;5.523
Total Nacional;Bulgaria;2018;5.329
Total Nacional;Bulgaria;2017;5.940
Total Nacional;Bulgaria;2016;5.015
Total Nacional;Bulgaria;2015;4.828
Total Nacional;Bulgaria;2014;4.637
Total Nacional;Bulgaria;2013;4.857
Total Nacional;Bulgaria;2012;6.128
Total Nacional;Bulgaria;2011;9.803
Total Nacional;Bulgaria;2010;8.342
Total Nacional;Bulgaria;2009;7.671
Total Nacional;Bulgaria;2008;10.761
Total Nacional;Dinamarca;2021;825
Total Nacional;Dinamarca;2020;565
Total Nacional;Dinamarca;2019;863
Total Nacional;Dinamarca;2018;873
Total Nacional;Dinamarca;2017;810
Total Nacional;Dinamarca;2016;694
Total Nacional;Dinamarca;2015;673
Total Nacional;Dinamarca;2014;679
Total Nacional;Dinamarca;2013;653
Total Nacional;Dinamarca;2012;725
Total Nacional;Dinamarca;2011;629
Total Nacional;Dinamarca;2010;607
Total Nacional;Dinamarca;2009;571
Total Nacional;Dinamarca;2008;698
Total Nacional;Finlandia;2021;837
Total Nacional;Finlandia;2020;652
Total Nacional;Finlandia;2019;927
Total Nacional;Finlandia;2018;1.031
Total Nacional;Finlandia;2017;1.059
Total Nacional;Finlandia;2016;902
Total Nacional;Finlandia;2015;850
Total Nacional;Finlandia;2014;875
Total Nacional;Finlandia;2013;870
Total Nacional;Finlandia;2012;917
Total Nacional;Finlandia;2011;958
Total Nacional;Finlandia;2010;916
Total Nacional;Finlandia;2009;677
Total Nacional;Finlandia;2008;715
Total Nacional;Francia;2021;12.708
Total Nacional;Francia;2020;9.905
Total Nacional;Francia;2019;11.513
Total Nacional;Francia;2018;11.384
Total Nacional;Francia;2017;11.132
Total Nacional;Francia;2016;9.127
Total Nacional;Francia;2015;8.843
Total Nacional;Francia;2014;7.908
Total Nacional;Francia;2013;7.059
Total Nacional;Francia;2012;7.139
Total Nacional;Francia;2011;7.567
Total Nacional;Francia;2010;7.485
Total Nacional;Francia;2009;7.465
Total Nacional;Francia;2008;8.710
Total Nacional;Irlanda;2021;2.784
Total Nacional;Irlanda;2020;1.560
Total Nacional;Irlanda;2019;1.888
Total Nacional;Irlanda;2018;1.789
Total Nacional;Irlanda;2017;1.589
Total Nacional;Irlanda;2016;1.308
