Comunidades y Ciudades Autónomas	Tamaño de los municipios	Periodo	Total
01 Andalucía	Total	2021	8.472.407
01 Andalucía	Total	2020	8.464.411
01 Andalucía	Total	2019	8.414.240
01 Andalucía	Total	2018	8.384.408
01 Andalucía	Total	2017	8.379.820
01 Andalucía	Total	2016	8.388.107
01 Andalucía	Total	2015	8.399.043
01 Andalucía	Total	2014	8.402.305
01 Andalucía	Total	2013	8.440.300
01 Andalucía	Total	2012	8.449.985
01 Andalucía	Total	2011	8.424.102
01 Andalucía	Total	2010	8.370.975
02 Aragón	Total	2021	1.326.261
02 Aragón	Total	2020	1.329.391
02 Aragón	Total	2019	1.319.291
02 Aragón	Total	2018	1.308.728
02 Aragón	Total	2017	1.308.750
02 Aragón	Total	2016	1.308.563
02 Aragón	Total	2015	1.317.847
02 Aragón	Total	2014	1.325.385
02 Aragón	Total	2013	1.347.150
02 Aragón	Total	2012	1.349.467
02 Aragón	Total	2011	1.346.293
02 Aragón	Total	2010	1.347.095
03 Asturias, Principado de	Total	2021	1.011.792
03 Asturias, Principado de	Total	2020	1.018.784
03 Asturias, Principado de	Total	2019	1.022.800
03 Asturias, Principado de	Total	2018	1.028.244
03 Asturias, Principado de	Total	2017	1.034.960
03 Asturias, Principado de	Total	2016	1.042.608
03 Asturias, Principado de	Total	2015	1.051.229
03 Asturias, Principado de	Total	2014	1.061.756
03 Asturias, Principado de	Total	2013	1.068.165
03 Asturias, Principado de	Total	2012	1.077.360
03 Asturias, Principado de	Total	2011	1.081.487
03 Asturias, Principado de	Total	2010	1.084.341
04 Balears, Illes	Total	2021	1.173.008
04 Balears, Illes	Total	2020	1.171.543
04 Balears, Illes	Total	2019	1.149.460
04 Balears, Illes	Total	2018	1.128.908
04 Balears, Illes	Total	2017	1.115.999
04 Balears, Illes	Total	2016	1.107.220
04 Balears, Illes	Total	2015	1.104.479
04 Balears, Illes	Total	2014	1.103.442
04 Balears, Illes	Total	2013	1.111.674
04 Balears, Illes	Total	2012	1.119.439
04 Balears, Illes	Total	2011	1.113.114
04 Balears, Illes	Total	2010	1.106.049
05 Canarias	Total	2021	2.172.944
05 Canarias	Total	2020	2.175.952
05 Canarias	Total	2019	2.153.389
05 Canarias	Total	2018	2.127.685
05 Canarias	Total	2017	2.108.121
05 Canarias	Total	2016	2.101.924
05 Canarias	Total	2015	2.100.306
05 Canarias	Total	2014	2.104.815
05 Canarias	Total	2013	2.118.679
05 Canarias	Total	2012	2.118.344
05 Canarias	Total	2011	2.126.769
05 Canarias	Total	2010	2.118.519
06 Cantabria	Total	2021	584.507
06 Cantabria	Total	2020	582.905
06 Cantabria	Total	2019	581.078
06 Cantabria	Total	2018	580.229
06 Cantabria	Total	2017	580.295
06 Cantabria	Total	2016	582.206
06 Cantabria	Total	2015	585.179
06 Cantabria	Total	2014	588.656
06 Cantabria	Total	2013	591.888
06 Cantabria	Total	2012	593.861
